;ctry;fh09;polity09;gini;fparl08;mena;lati;cari;east;sovi;afri;corr0509
126;Mexico;2,5;8;51,6;22,13;0;1;0;0;0;0;-0,245729212
127;Micronesia, Fed. Sts.;1;;;0;0;0;0;0;0;0;-0,310219535
128;Moldova;3,5;8;37,4;21,78;0;0;0;0;0;0;-0,650764156
129;Monaco;1,5;;;25;0;0;0;0;0;0;
130;Mongolia;2;10;36,6;4,17;0;0;0;1;0;0;-0,618422636
131;Montenegro;2,5;;36,9;11,11;0;0;0;0;1;0;-0,330958922
132;Morocco;4,5;-6;40,9;6,22;1;0;0;0;0;0;-0,257721825
133;Mozambique;3,5;5;47,1;34,8;0;0;0;0;0;1;-0,524405398
134;Myanmar;7;-6;;;0;0;0;1;0;0;-1,686324705
135;Namibia;2;6;74,3;26,92;0;0;0;0;0;1;0,284012119
136;Nepal;4;6;47,3;33,16;0;0;0;0;0;0;-0,762604422
137;Netherlands;1;10;30,9;39,11;0;0;0;0;0;0;2,061413695
138;Netherlands Antilles;;;;;0;0;1;0;0;0;1,210931981
139;New Caledonia;;;;;0;0;0;0;0;0;-1,030281528
140;New Zealand;1;10;36,2;33,61;0;0;0;0;0;0;2,278718833
141;Nicaragua;4;9;52,3;18,48;0;1;0;0;0;0;-0,747011013
142;Niger;4,5;-3;43,9;12,39;0;0;0;0;0;1;-0,786162567
143;Nigeria;4,5;4;42,9;7,28;0;0;0;0;0;1;-1,059798907
144;Northern Mariana Islands;;;;;0;0;0;0;0;0;
145;Norway;1;10;25,8;36,09;0;0;0;0;0;0;1,946724937
146;Oman;5,5;-8;;9,09;1;0;0;0;0;0;0,473768772
147;Pakistan;4,5;5;31,2;21,23;0;0;0;0;0;0;-0,884608798
148;Palau;1;;;6,9;0;0;0;0;0;0;-0,362581474
149;Panama;1,5;9;54,9;16,67;0;1;0;0;0;0;-0,311231456
150;Papua New Guinea;3,5;4;50,9;0,92;0;0;0;0;0;0;-1,324521311
151;Paraguay;3;8;53,2;13,6;0;1;0;0;0;0;-1,190400844
152;Peru;2,5;9;50,5;29,17;0;1;0;0;0;0;-0,310562361
153;Philippines;3,5;8;44;20,23;0;0;0;1;0;0;-0,663144559
154;Poland;1;10;34,9;18,04;0;0;0;0;1;0;0,350847436
155;Portugal;1;10;38,5;28,26;0;0;0;0;0;0;1,036326387
156;Puerto Rico;;;;;0;0;0;0;0;0;0,669987083
157;Qatar;5,5;-10;41,1;0;1;0;0;0;0;0;1,148953761
158;Romania;2;9;32,1;9,77;0;0;0;0;1;0;-0,101114463
159;Russian Federation;5,5;4;43,7;11,47;0;0;0;0;0;0;-0,917828992
160;Rwanda;5,5;-3;46,7;50,94;0;0;0;0;0;1;-0,164223
161;Samoa;2;;;8,16;0;0;0;0;0;0;0,164414585
162;San Marino;1;;;15;0;0;0;0;0;0;
163;Sao Tome and Principe;2;;50,6;7,27;0;0;0;0;0;1;-0,551727247
164;Saudi Arabia;6,5;-10;;0;1;0;0;0;0;0;-0,025977101
165;Senegal;3;7;39,2;29,2;0;0;0;0;0;1;-0,366590317
166;Serbia;2;;28,2;21,6;0;0;0;0;1;0;-0,283202179
167;Seychelles;3;;;23,53;0;0;0;0;0;1;0,212414378
168;Sierra Leone;3;7;42,5;13,22;0;0;0;0;0;1;-1,067660586
169;Singapore;4,5;-2;42,5;24,47;0;0;0;1;0;0;2,198528161
170;Slovak Republic;1;10;25,8;19,33;0;0;0;0;1;0;0,435218744
171;Slovenia;1;10;31,2;10;0;0;0;0;1;0;1,010599839
172;Solomon Islands;3,5;8;;0;0;0;0;0;0;0;-0,325139434
173;Somalia;7;0;;8,2;0;0;0;0;0;1;-1,813052343
174;South Africa;2;9;57,8;33,92;0;0;0;0;0;1;0,33295983
175;Spain;1;10;34,7;33,61;0;0;0;0;0;0;1,101790267
176;Sri Lanka;4;6;41,1;5,78;0;0;0;0;0;0;-0,193983917
177;St. Kitts and Nevis;1;;;6,67;0;0;1;0;0;0;1,039230437
178;St. Lucia;1;;;17,24;0;0;1;0;0;0;1,193857435
179;St. Vincent and the Grenadines;1,5;;;18,18;0;0;1;0;0;0;1,039230437
180;Sudan;7;-4;;16,84;0;0;0;0;0;1;-1,324605224
181;Suriname;2;;52,8;25,49;0;0;1;0;0;0;-0,089502567
182;Swaziland;6;-9;50,7;22,11;0;0;0;0;0;1;-0,310528371
183;Sweden;1;10;25;46,99;0;0;0;0;0;0;2,147107678
184;Switzerland;1;10;33,7;27,24;0;0;0;0;0;0;2,058660701
185;Syrian Arab Republic;6,5;-7;;12,4;1;0;0;0;0;0;-0,92537736
186;Tajikistan;5,5;-3;33,6;19,59;0;0;0;0;0;0;-1,006135138
187;Tanzania;3,5;-1;34,6;30,41;0;0;0;0;0;1;-0,439213089
188;Thailand;4,5;4;42,5;12,7;0;0;0;1;0;0;-0,225074311
189;Timor-Leste;;7;31,9;29,23;0;0;0;1;0;0;-0,896604589
190;Togo;4,5;-4;34,4;11,11;0;0;0;0;0;1;-0,996482464
191;Tonga;4;;;3,13;0;0;0;0;0;0;-0,992693176
192;Trinidad and Tobago;2;10;40,3;33,33;0;0;1;0;0;0;-0,108312324
193;Tunisia;6;-4;40,8;19,93;1;0;0;0;0;0;0,005450608
194;Turkey;3;7;41,2;9,11;1;0;0;0;0;0;0,074355787
195;Turkmenistan;7;-9;40,8;;0;0;0;0;0;0;-1,435038659
196;Turks and Caicos Islands;;;;;0;0;1;0;0;0;
197;Tuvalu;1;;;0;0;0;0;0;0;0;-0,149392563
198;Uganda;4,5;-1;42,6;30,72;0;0;0;0;0;1;-0,819750555
199;Ukraine;2,5;7;27,6;8,22;0;0;0;0;0;0;-0,722976016
200;United Arab Emirates;5,5;-8;;22,5;1;0;0;0;0;0;1,024446085
201;United Kingdom;1;10;36;19,61;0;0;0;0;0;0;1,714136844
202;United States;1;10;40,8;17,01;0;0;0;0;0;0;1,338106033
203;Uruguay;1;10;47,1;12,31;0;1;0;0;0;0;1,112514148
204;Uzbekistan;7;-9;36,7;16,36;0;0;0;0;0;0;-1,071778912
205;Vanuatu;2;;;3,85;0;0;0;0;0;0;0,345598699
206;Venezuela, RB;4,5;-3;43,4;18,56;0;1;0;0;0;0;-1,061679517
207;Vietnam;6;-7;37,8;25,76;0;0;0;1;0;0;-0,656128386
208;Virgin Islands (U.S.);;;;;0;0;0;0;0;0;0,827849712
209;West Bank and Gaza;;;;;0;0;0;0;0;0;-0,908450896
210;Yemen, Rep.;5,5;-2;37,7;0,73;1;0;0;0;0;0;-0,80883978
211;Zambia;3,5;7;50,7;15,19;0;0;0;0;0;1;-0,601142209
212;Zimbabwe;6;1;50,1;18,15;0;0;0;0;0;1;-1,382120887
